,PSI_test,PSI_val
monto,0.0008741649255617945,0.08313792815460287
ctd_prod_rccsf_m01,,
prom_salvig_entprinc_pp_rccsf_03m,,
max_usotcrrstsf06m,,
max_usotcrrstsf03m,,
prm_lintcribksf06m,0.0004895997938935144,0.01473423823864258
lin_tcribksf03m,0.0008329182613157828,0.01193861086531435
lin_tcribksf06m,0.0006754885865303414,0.014277868406104578
cre_salvig_pp_rccsf_m02,,
prm_usotcrrstsf06m,,
prm_lintcribksf03m,0.0009779936594940606,0.012449175274083601
prm_usotcrrstsf03m,,
ratuso_tcrrstsf_m13,,
promctdprodrccsf3m,,
ratpct_saldopprcc_m13,,
promctdprodrccsf6m,,
ctd_actrccsf_6m,,
ctd_flgact_rccsf_m01,,
sld_ep1ppeallsfm01,,
prm_sldvigrstsf12m,0.001423606912159195,0.008469637522866714
sldtot_tcrsrcf,,
sldvig_tcrsrcf,,
flg_lintcrripsaga,,
flg_svtcrsrcf,,
flg_sdtcrripsaga,,
flg_sttcrsrcf,,
flg_svltcrsrcf,,
max_camptottlv06m,,
min_camptottlv06m,,
frc_camptottlv06m,,
rec_camptottlv06m,,
grp_camptottlv06m,,
ctd_camptottlv06m,0.001097825312527179,0.05996034807893805
prm_camptottlv06m,,
max_campecstlv06m,,
min_campecstlv06m,,
frc_campecstlv06m,,
rec_campecstlv06m,,
grp_campecstlv06m,,
ctd_campecstlv06m,,
prm_campecstlv06m,,
prob_value,0.0002327295178574352,0.010933309926803383
max_camptot06m,,
min_camptot06m,,
frc_camptot06m,,
rec_camptot06m,,
grp_camptot06m,,
ctd_camptot06m,0.0006646186628599521,0.008357416429050657
prm_camptot06m,0.0008859948252820373,0.007999809880305499
max_campecs06m,,
min_campecs06m,,
frc_campecs06m,,
rec_campecs06m,,
grp_campecs06m,,
ctd_campecs06m,,
prm_campecs06m,,
ing_brt,0.0011135388420869625,0.009888947452701522
sexo,,
region,,
flg_notdeseaecs01m,,
flg_notdeseaecs02m,,
flg_notdeseaecs03m,,
sgt_cem,,
ctd_proac,0.00012948873801429597,0.24831225714320526
ctd_cttefeproac,,
ctd_cttefetot,,
rng_pst,,
ubigeo_buro,,
edad,0.0009293963239477521,0.007098514381856261
grp_riesgociiu,,
flg_saltothip12m,,
flg_saltotppe12m,,
prm_pctsaltototrent12m,,
prm_pctsaltotcaja12m,,
ant_saltot24m,,
ant_saltot12m,,
min_difsaltottcr12m,0.0005470314917594072,0.010280375692304137
num_incrsaldispefe06m,,
max_difent12m,,
num_dismsalppecons06m,,
seg_un,,
beta_pctusotcr12m,0.0006471643249417324,0.00745980993009926
prm_pctusosaltottcr03m,0.00042453555531350164,0.00652706226921245
dsv_saltotppe03m,,
prm_diasatrrdpn12m,,
dsv_numentrdlintcr03m,,
rat_disefepnm01,,
prm_diasatrrdpn06m,,
pct_usotcrm01,0.0008556114583061728,0.00854095822696893
dsv_numentrdlintcr06m,,
beta_saltotppe12m,,
prm_entrd03m,,
ctd_entrdm01,,
beta_saltotppe06m,,
prm_diasatrrd03m,,
